"","Name","Pos","Team","Highest Level","kelly","adjkelly","FG Rank"
"1","ADLEY RUTSCHMANN","C","BAL","AAA",0.879,0.159,1
"2","BOBBY WITT JR","SS","KCR","AAA",0.849,0.129,2
"3","JULIO RODRIGUEZ","RF","SEA","AA",0.899,0.179,4
"4","SPENCER TORKELSON","1B","DET","AAA",0.924,0.204,5
"5","RILEY GREENE","RF","DET","AAA",0.849,0.129,6
"6","FRANCISCO ALVAREZ","C","NYM","A+",0.748,0.128,7
"7","ONEIL CRUZ","SS","PIT","MLB",0.596,-0.124,8
"8","JOSH JUNG","3B","TEX","AAA",0.798,0.0780000000000001,9
"9","GABRIEL MORENO","C","TOR","AAA",0.798,0.0780000000000001,10
"10","ANTHONY VOLPE","SS","NYY","A+",0.748,0.128,12
"11","NOELVI MARTE","SS","SEA","A+",0.647,0.027,13
"12","CORBIN CARROLL","CF","ARI","A+",0.748,0.128,14
"13","CJ ABRAMS","2B","SDP","AA",0.722,0.002,15
"14","TRISTON CASAS","1B","BOS","AAA",0.798,0.0780000000000001,16
"15","JORDAN WALKER","3B","STL","A+",0.596,-0.024,17
"16","MARCO LUCIANO","SS","SFG","A+",0.697,0.0770000000000001,18
"17","MARCELO MAYER","SS","BOS","R",0.672,0.052,19
"18","MJ MELENDEZ","C","KCR","AAA",0.747,0.027,21
"19","HENRY DAVIS","C","PIT","A+",0.772,0.152,22
"20","ALEK THOMAS","LF","ARI","AAA",0.823,0.103,23
"21","BRENNAN DAVIS","RF","CHC","AAA",0.647,-0.073,25
"22","LUIS CAMPUSANO","C","SDP","MLB",0.747,0.027,26
"23","NICK YORKE","2B","BOS","A+",0.798,0.178,29
"24","JEREMY PENA","SS","HOU","AAA",0.874,0.154,30
"25","ORELVIS MARTINEZ","3B","TOR","A+",0.697,0.0770000000000001,32
"26","BRYSON STOTT","SS","PHI","AAA",0.798,0.0780000000000001,34
"27","LUIS MATOS","CF","SFG","A",0.646,0.026,35
"28","TYLER SODERSTROM","1B","OAK","A",0.798,0.178,36
"29","DIEGO CARTYA","C","LAD","A",0.546,-0.074,37
"30","OSWALD PERAZA","SS","NYY","AAA",0.747,0.027,39
"31","COLTON COWSER","CF","BAL","A",0.647,0.027,40
"32","BRAYAN ROCCHIO","SS","CLE","AA",0.697,-0.0229999999999999,43
"33","RONNY MAURICIO","SS","NYM","AA",0.596,-0.124,44
