"","Name","Pos","Team","kelly","FG Rank"
"1","ADLEY RUTSCHMANN","C","BAL",0.879,1
"2","BOBBY WITT JR","SS","KCR",0.849,2
"3","JULIO RODRIGUEZ","RF","SEA",0.899,4
"4","SPENCER TORKELSON","1B","DET",0.924,5
"5","RILEY GREENE","RF","DET",0.849,6
"6","FRANCISCO ALVAREZ","C","NYM",0.748,7
"7","ONEIL CRUZ","SS","PIT",0.596,8
"8","JOSH JUNG","3B","TEX",0.798,9
"9","GABRIEL MORENO","C","TOR",0.798,10
"10","ANTHONY VOLPE","SS","NYY",0.748,12
"11","NOELVI MARTE","SS","SEA",0.647,13
"12","CORBIN CARROLL","CF","ARI",0.748,14
"13","CJ ABRAMS","2B","SDP",0.722,15
"14","TRISTON CASAS","1B","BOS",0.798,16
"15","JORDAN WALKER","3B","STL",0.596,17
"16","MARCO LUCIANO","SS","SFG",0.697,18
"17","MARCELO MAYER","SS","BOS",0.672,19
"18","MJ MELENDEZ","C","KCR",0.747,21
"19","HENRY DAVIS","C","PIT",0.772,22
"20","ALEK THOMAS","LF","ARI",0.823,23
"21","BRENNAN DAVIS","RF","CHC",0.647,25
"22","LUIS CAMPUSANO","C","SDP",0.747,26
"23","NICK YORKE","2B","BOS",0.798,29
"24","JEREMY PENA","SS","HOU",0.874,30
"25","ORELVIS MARTINEZ","3B","TOR",0.697,32
"26","BRYSON STOTT","SS","PHI",0.798,34
"27","LUIS MATOS","CF","SFG",0.646,35
"28","TYLER SODERSTROM","1B","OAK",0.798,36
"29","DIEGO CARTYA","C","LAD",0.546,37
"30","OSWALD PERAZA","SS","NYY",0.747,39
"31","COLTON COWSER","CF","BAL",0.647,40
"32","BRAYAN ROCCHIO","SS","CLE",0.697,43
"33","RONNY MAURICIO","SS","NYM",0.596,44
"34","JOSH LOWE","CF","TBR",0.748,45
"35","NICK PRATTO","1B","KCR",0.671,47
"36","CURTIS MEAD","LF","TBR",0.672,48
"37","KAHIL WATSON","SS","MIA",0.546,49
"38","ROBERT HASSELL III","CF","SDP",0.596,50
"39","NOLAN GORMAN","3B","STL",0.704,53
"40","VIDAL BRUJAN","2B","TBR",0.848,55
"41","AUSTIN MARTIN","CF","MIN",0.848,56
"42","STEVEN KWAN","CF","CLE",0.848,57
"43","ELLY DE LA CRUZ","SS","CIN",0.496,59
"44","ROYCE LEWIS","SS","MIN",0.697,62
"45","BRETT BATY","3B","NYM",0.546,63
"46","MARK VIENTOS","3B","NYM",0.596,64
"47","GUNNAR HENDERSON","3B","BAL",0.546,66
